rating,reviews,date
1,"            Hive engineer failed to show twice after I had taken two days off work to get hive installed. British Gas employees wouldn’t give a monkeys,I suppose it’s the shareholders that are suffering . Because of the engineer not showing up twice I decided to cancel my boiler care and appliance cover with them as well as cancel this hive contract so a sum of about £110 a month lost. I will give my money to someone who wants it. Honestly you guys were great a few years back, but now you are mediocre at best. What the hell has happened to you.
        ",2018-07-09T17:56:48.000+00:00
1,"            I moved from SSE to British Gas because SSE were so useless about getting a Smart meter fitted. I booked an appointment for the same from British Gas (it was actually part of their Terms and Conditions to have one fitted). I booked time off and stayed in, after and hour or so after the booked time I rang them, they had no record of the appointment. What kind of company is unable to use a computer to book appointments into a calendar? Not one for me.
        ",2018-07-09T09:38:39.000+00:00
1,"            There engineers  were rude and surely.3 times I had to get them back for a job not done correctly. I think that peeveee them and it showed in there attitude.Engineers there are unaccountable  otherwise how could they get away with this poor customer service. They must remember YOU invite  them into you're home and should show  respect!!
        ",2018-07-09T07:17:10.000+00:00
1,"            Firstly the App never works and the people you ring up to help have the same ""reload it onto your device"" instructions. Absolutely rubbish. Booked a service I had to wait 2months for, took the morning off work as the engineer was coming between 8am and 1pm. At 12.50 I get a phone call saying he won't be there till 3.30pm. What's the point if you can't even get to an appointment that has been booked 2 months in advance. I was also told I could book the appointment anytime including weekends when I bought the product, when I went to book the service for the insurance product I was told this was not true. Communication and management in this company is horrific.
        ",2018-07-06T15:09:05.000+00:00
1,"            Conned me left right and centre. Been with them for 14 years, soon as I told them I am changing suppliers things started to go wrong. They didn't care about the 14 year relationship and now I will never ever in the future do business with them.
        ",2018-07-05T15:02:28.000+00:00
5,"            Yesterday an engineer called Darren visited our house to check things out for our Home Cover.  He was brilliant - courteous, friendly, knowledgeable, and full of useful suggestions.  If every engineer turned up like he did, BG would be in a great place!  Having used Scottish Power in the past, this was a HUGE improvement.  Darren works in the East Midlands region
        ",2018-07-05T11:14:41.000+00:00
1,"            I am appalled with the customer service I just received from British Gas contact centre. I just received a letter stating that my bill is now doubled from what it use to be. Called British Gas to discuss this and the lady who introduced herself as Asha (from what I could understand) was extremely rude, with no empathy no customer service skills whatsoever. I have never been so disrespected this much, from the moment she picked the call she spoke like she didn’t even want to be speaking to me then when I said I can’t afford to be paying double what I use to pay and if there was any chance the monthly payment can be reduced,  she instantly got rude, I said to her to you can’t be speaking to customers this way, she then turned around and hang up the phone on me. I am in shock, disappointed and completely appalled.
        ",2018-07-04T19:08:04.000+00:00
1,"            Never take home care products once product break down it will take weeks before it will be repaired. I had my repaire re-booked three times. First occasion no parts, Second time no engineer, Third mishap in engineers family and still waiting. They can not come on weekend so used three of annual leave already and forth one next week.
        ",2018-07-04T14:57:32.000+00:00
5,"            had excellent resolution to a few issues - thankyou customer services team. Took each issue and resolved with due care and attention to the matter.
        ",2018-07-04T13:57:12.000+00:00
5,"            Yes British Gas is far from the cheapest but my household has been with them over 20 years even though the householder is on a very low income. We believe in quality over expense and I can say we've never had to phone BG about anything, never been a problem to speak of and the bill payer in the house is very happy about being in the vulnerable group as it makes them feel valued as a customer. We're happy to pay what we're paying for the great service we are provided
        ",2018-07-02T14:51:36.000+00:00
1,"            The worst company ever, everything they do is unprofessional! If I would have the option to give a review without a star. I would be really glad! The engineers, first of all, are incapable to do anything. I'm not happy at all with this service and the company should be closed! I'm wasting my time so badly with these incompetents.
        ",2018-07-02T14:40:22.000+00:00
1,"            A customer of BG for over 20 years, I changed supplier to the Peoples Energy Company because of the continual poor customer service and continuing price rises. My big gripe with them is the speed with which they send final bills to debt collection agencies. I contacted them to arrange a payment plan for the final bills. They were happy to take a payment and then informed me that they couldn't set up a payment plan because the final bills were in the process of being handed over to a debt collection agency. This was less than ONE MONTH after receiving the final bill. They refused to cancel the DCA but still took the money out of my account. Bloody awful service from someone willing to pay a debt. NEVER USE BRITISH GAS
        ",2018-07-02T08:05:19.000+00:00
5,"            Yet again I have had to call British Gas out under my Homecare 400 policy.im disabled and when I turned the tap on water started gushing out from under the sink and filling the kitchen.im in a wheelchair so could get to the stop tap.a neighbour came and partially turned if off.i got through to British Gas immediately and they sent a plumber within 30 mins.Brilliant service.tap ordered,leak stopped.Really nice chap.What more can I say.British Gas also came out in January to sort a broken boiler ,again the same night.Thank you British Gas
        ",2018-07-01T20:12:46.000+00:00
1,"            The reviews here says it all, please do not sign up with them.
        ",2018-06-30T20:03:34.000+00:00
1,"            Disgraceful.  Told them we did not need them to install new boiler over a month in advance as we had received a cheaper quotation.  They still thought they were doing so up until 1 working day before the date as no one logged the cancellation.  Then they sent us Debt Collection letters for a detector invoice that had been paid over 5 weeks previous.  Promised the matter was dealt with and then proceeded to send yet another letter.  British Gas you have lost me as a customer after many years.  I've had enough of your administrative and customer service incompetence.
        ",2018-06-30T11:41:12.000+00:00
1,"            Considering British Gas is supposed to be the biggest energy company in the UK they are certainly the worst for pricing, misleading and customer services. They really could not care less about their customers. They are not interested in your complaints and just want to get rid of you when you are on the phone to them. I read that they lost over 500.000 customers this year, well I'm not surprised, stay away at all costs and go with a lesser known energy supplier. British Gas shame on you.
        ",2018-06-29T09:46:39.000+00:00
1,"            STAY AWAY, left in June 2017, got refunded DECEMBER 2017 because apparently, I overpaid... RECEIVE A RANDOM BILL MAY 2018. Get confirmation it was an error... JUNE 2018 receive a DEBT COLLECTOR LETTER SAYING I OWE THEM MONEY! absolutely cannot believe their service. Been with first utility since I left and honestly 0 problems and its half the price!
        ",2018-06-29T09:41:29.000+00:00
1,"            have had nothing but problems from British Gas and they have repetitively failed to respond to correspondence and complaint. Although the major issue was a simple one of putting my disabled mother in law onto a correct residential account rather than the business account BG decided to use, this took nearly a year to fix and included numerous threatening letters which BG said we should ignore because they couldn't stop the computer generating them. They are still creating problems and failing to correct them. We are of course moving supplier.
        ",2018-06-29T05:58:20.000+00:00
1,"            Just finished our 1 year contract with British Gas, and although we usually paid £80 last bill is £329, with no godamn explanation for !!!!!!On the statement all together comes at around £65 and the Total £329. What for??????
        ",2018-06-28T22:08:37.000+00:00
4,"            I know i had heard very bad experiences. Luckily, so far, it has all been good to me.If in case this changes, i will update this review.
        ",2018-06-28T11:53:26.000+00:00
5,"            I had to call customer services regarding a high bill received by an elderly person and he was worried about it the really pleasant and helpful advisor helped sort it out and also advised about the warm home discount for the elderly which he can apply for in September. So British gas I take my hat off to you for employing such a helpful individual I wish I had got her name as she deserves a payrise
        ",2018-06-28T08:24:57.000+00:00
1,"            If I could give British Gas no stars I would do so... Just got off the phone from a male 'customer service agent' - I use the term advisedly, as I am unemployed again, and have an electricity  bill of £144.59 , which I said I could completely clear in September... by the way part of this bill is £13.00 administration charge, which they won't take off, because looking at my account I have had other late charges over the years ( all bills paid off previously in full) so I don't know what they are complaining about.... Going to OffGem about their cavalier attitude. Completely twisting my conversations around, so they can tie me up in knots... it didn't work...
        ",2018-06-27T11:41:23.000+00:00
1,"            Just avoid them.  Homecare costs increased this year by nearly 25%, but takes 3 months to get a service appointment.  They even charged the £99 excess for a repair that should not have been necessary if the work had been done properly less than a year before.
        ",2018-06-27T11:00:34.000+00:00
1,"            The worse of the top 6 suppliers. Rubbish customer service, rubbish services and over priced energy.  Had to make two complaints within 12 months due to the poor service, incorrect billing, allowing me to have a tariff that required a smart meter which I didn't have it took them 6 months to realize their error. And the best part is awarding me compensation for their crap service and forgetting to add it to my account. I got it 12 months later, along with the compensation for the second complaint. They couldn't explain why my billing switch from 1/4 to 1/2 yearly who wants to be billed every 6 months. Then sent out an email to say they are increasing my direct debit to £334.00 per month. REALLY british gas!!! And they are quick to record activity on your credit file. Just paid of my balance and move to a different supplier. Never again will I have any dealings with these scum bags.
        ",2018-06-27T10:36:52.000+00:00
1,"            Thieving scums, always putting the price up so they can make a profits from us poor folks, Do not sign up with them. one moth £500 bill fas gas and electric!!!!
        ",2018-06-26T15:03:19.000+00:00
2,"            Most expensive gas in the UK, keep putting prices up as well. I used price comparison website to get a better deal with a different supplier. Poor customer service and long waiting times on hold too. Not impressed.
        ",2018-06-26T09:42:44.000+00:00
1,"            Awful! I moved into a new property and found the key meter had been bypassed. I rung British Gas as it was there meter that had been bypassed. They sent out a revenue protection officer and an engineer who then turned up, took the meter and totally disconnected my electricity leaving me with none. Then left. I recommend if you ever come across this dont call British Gas. Rinse them for whatever you can.
        ",2018-06-26T02:37:37.000+00:00
1,"            I have been with them for about 10 years now. Since the last two years their service has been getting worse day by day.You will not get an appointment straight away, minimum wait 5 days. When you get an appointment the wait time is 6 hours. For people like me who work 8.30 to 5.30, it is just not possible to sit in and wait for 6 hours therefore have to request friends to sit in. When the engineers most of the time they need a second visit either for parts or you yourself have to book a second visit as the job has not been done properly.The second appointment wait time is even longer than the first one.Last year my fridge broke down, they took 4 weeks to work out what was needed to done, ordering wrong parts, not fixing it properly. It was the week when there was heat way. I have two boys and a diabetic mum. I struggled to keep up with the food needs of the family members during that time. It cost me a huge amount of money too as the food had to be thrown away on daily basis. I spent more money on food then I could have spent to buy a new fridge freezer!! I did not buy a new one as they kept on saying this will be fixed in two days in four days, without giving a fixed time period. Everytime you make a complain they will offer you £30 TO KEEP YOUR MOUTH SHUT. I have suggested so many times that instead of offering customers money spend this on hiring competitive engineers and more of them to fulfill the needs of the customers.My fridge is again having problems, when asked to give priority they said someone can come and visit in the 6 hour slot in three days time!!!! Ridiculous!! In this heat you wait for 3 days and take half a day unpaid leave too! This time I will take it to the highest level of complain.My washing machine was not working about 4 weeks ago, they sent an engineer who fixed it in 20 minutes and said it is good as gold, it had the same problem the next day when it was turned on.I wouldn't have wasted even one star on them!!!!!
        ",2018-06-25T18:57:36.000+00:00
4,"            Moved into the house under their supply and so far nothing to complain about, smart meter installed and clear bills.We will review after re-newal...
        ",2018-06-24T17:37:02.000+00:00
1,"            ADVOID AT ALL COSTS We moved into our new house which was currently with British Gas. We had been moved in for 2 weeks before starting the renovation so all gas was disconnected which it still is. I have now received a bill for £740 pounds which we couldn't quite believe. After speaking to someone at there call centre have been told that we must pay it then they'll refund it back or it'll be passed on to a debt collection agency which I find disgusting to be threatened by such a big company and have to be paying for their balls up!I HIGHLY RECOMMEND TO STAY AWAY FROM THIS TERRIBLE COMPANY...
        ",2018-06-21T17:01:16.000+00:00
5,"            My usual customer service experience in the past has been atrocious with utilities companies. Had a problem with my last few bills but I’m glad they resolved it really quickly as opposed to other companies who drag there heels when you complain.
        ",2018-06-21T13:27:17.000+00:00
1,"            - Giving you a time slot of 5 hours is impossible to organise for access- Company promised a fix time for appointment but professional called that he will need to attend earlier as he is 'keen on going home early as it is his last job of the day'. Not exactly professional, as it is their job to complete the job when its been promised for a fix time.Ridiculous service. Have worked with the company more than once and I definitely would not recommend unless you have all day to lay around your house and wait.Good service on the phone however.
        ",2018-06-20T15:40:44.000+00:00
5,"            Use their home services product. In fairness they come out when asked- and usually within 24 hours. All the guys are pleasant, respectful and genuinely seem to enjoy their jobs. Happy to recommend to others.
        ",2018-06-20T15:21:08.000+00:00
1,"            Summary- Appalling Customer Service - Was advised different things every time I called and they wouldn’t rectify their mistakes- My complaint handler was useless and sounded like he didn’t even want to actually help- Advised that I needed to separate electric meters for business and domestic and apparently there was no other way, for some magical reason other suppliers said they can use 1 which saved me £1000+ (costs a lot to get meters installed or changed).- Currently switching suppliers, I will never be going with British Gas again and I recommend you don’t either, there’s a reason they have so many bad reviews.Detailed ExplanationMy biggest problem with British Gas is being advised wrong multiple times, it was as though the employees had no idea what was going on.(May 2018) I have a business with a flat above, I was on pay as you go and wanted to switch to business. Advisor 1 said first you need to upgrade to smart meters before you can be upgraded to business. I said ok, 1 month later the smart meters were fitted.I called back to upgrade to business, Advisor 2 said you need credit meters not smart meters. I spent 1 month on ‘out of contract’ rates paying a lot more for my electric for the wrong meters to be installed! Advisor 2 runs credit check in order to install credit meters, credit check fails for some reason. Advisor 2 says check on Experian if you have a good score then call us back.Experian score is perfectly fine as expected because this is the first time I was turned down. I call back and Advisor 3 says a credit check should never have run. I’m a patient guy but at this point I was getting annoyed. Advisor 3 says you’re a business you should be straight on a business contract but he doesn’t know the full details so he checks with someone from business. I ask about the credit check that never should have been done in the first place, he says and I quote “British Gas can have that removed after a week” I thought well that’s fine. He puts me through to business side as “they know more about this”. As soon I was put through I said “I hope you can help me out here as everyone else keeps putting me through to someone else”. Turns out he couldn’t do anything either as I was not a business account, and he put me through to a complaint handler.(Friday 15th June 2018) Now the Complaint Handler was the last straw for me. They had some kind of specialist on the line as well which I wouldn’t be surprised was a legal person to protect them. My complaint handler was useless, every time I asked something he’d say he knew nothing about and couldn’t comment. I told him I was told the wrong advice by so many people but of course he didn’t care. I told him about the credit check and what Advisor 3 said to me, however he says British Gas can’t do anything about it, at this point I’d ran out of patience. The complaint handler advised something completely different, I’d need to have 2 separate electric meters for business and domestic and that British Gas can’t do it any other way. He gave me contact details for Northern Power-grid, advised me to call them and get another meter installed and then call British Gas back.  He also said he’d listen to the calls and see what happened but wouldn’t be able to tell me what action or if any action had been taken against the previous advisors, he said he’d call by Tuesday 19th June 2018. It gets to Tuesday and he calls and says he was busy and didn’t listen to any calls, said he’d call me back on Friday. At this rate I was still paying for ‘out of contract’ rates and I had enough of British Gas’ BS, told him I’m not bothered anymore I’m leaving British Gas. I had enough of being told the wrong things and my complaint handlers attitude and efficiency was appalling. Instead of working with me it was like he was working against me. A credit was run and judging by the advice of the complaint handler and advisor 3 it shouldn’t have been done as I should have been told I need 2 meters by the first advisor. British Gas said they would not rectify their mistake. This also confirmed that all the previous advisors told me the wrong things as the complaint handler was advising me completely differently. I wasn’t sure who to trust at British Gas so I went to another supplier who had much simpler methods of doing things.I’d like to point out having another meter installed would have cost me around £1000 and the complaint handler said it was a MUST. I checked with multiple other supplier who all said they can use that 1 meter but for some magical reason British Gas couldn’t.
        ",2018-06-20T11:12:14.000+00:00
1,"            I had British Gas Homecare, I called them out when my boiler stopped working, They said that they could not get the parts they needed as it was now obsolete and would need replacing at a cost of £3K this was with my Loyalty discount.I went online and found the parts (all original parts) contacted a local plumber who came out, purchased the parts and repaired the boiler all in cost £111 (parts were £12 Call out and fitting £99)British Gas has not refunded me a penny and they have cancelled my cover.It seems from reading online comments that British Gas is only interested in selling you a new Boiler.
        ",2018-06-20T08:46:38.000+00:00
1,"            My radiator sprang a leak, spraying pressurised water over the floor. The very unhelpful call handler told me that despite being around 11am that the repairer wouldn't come until after 5pm.When the engineer turned up and fixed the problem, he told me that BG hadn't classified my problem as an emergency and he had done several other jobs locally that weren't a priority and he would have come to me if he had known.I complained to British Gas who, conveniently, said that their call system was broken and it only recorded what I said and not what the call handler said thus avoiding any liability - but I'm sure this was just accidental, wasn't it?They also pointed out that in their Terms and Conditions it says they will only attend as soon as they can. So, that means they could take days to attend if they like and you have no comeback. I don't think this is ethical nor reasonable. You decide.
        ",2018-06-19T16:50:21.000+00:00
1,"            Terrible service. I've just moved house and decided to stay with British gas in my new home, after the old house account was closed I had £1656 taken out of my account. They had been underestimating my account for 3 years. I wasn't given a choice about a payment plan it was all just taken in one go. I contacted customer service, can only say it wasn't great service, the first person I spoke to put the phone down on me and the second basically said it's harsh but nothing I can do. I will definitely be changing providers, absolutely terrible service.
        ",2018-06-19T08:37:27.000+00:00
1,"            Shocking service.....false promises on call backs to speaking with an manager with an attitude. Over vharged me .... agreed tgey have and offered an apology but no refund.Awaiting for his manager to call me.
        ",2018-06-18T08:53:09.000+00:00
1,"            Not really happy, firstly trying to get through to you guys is too long sometimes more than 28 minutes to speak to some one, not impressed when you get transferred with out notice and have to give all details again, What really annoying is the transfer of my gas meter, when correct details where given you still got it wrong, as a new customer this has not impressed me.The app does not work either. todays call was 33 minutes.
        ",2018-06-18T08:00:09.000+00:00
1,"            I moved into my property to find that there is a pre payment electric meter over 7 feet high . I have arthritis and cannot climb a ladder. I also can t get to the nearest venue to top up my key as I can only walk about 100 yds. Spent hours on the phone but despite many promises i can't get an engineer to change the meter to quarterly payment or even have it lowered on the wall so I can reach. I have been with brit. Gas since I was 18. I'm now 64 and I have never missed paying a bill in all that time. Only way I can get electric is give a neighbour or stranger my debit card and pin to get key topped up. Very unsafe. So is wobbling about on a ladder which I find very frightening. An engineer has now called but wouldn't touch the electric meter. Instead he has changed the gas meter to a card. (I didn't owe any money) To compound matters he has actually capped off the gas saying I have to get a safety certificate on the boiler every year , even though I own my home and he said the boiler works fine. The only problem was a missing knob on the programmer which has been resolved in a few minutes by my neighbour who is electrician. Gas Engineer was very rude and said if i didn't sign his fault sheet he would have all my gas pipes in the road removed and I would have to pay for the work.Have spent in excess of 4 hours on the phone but just get passed around from one advisor to another with waits of up to 30 mins listening to stupid music. At my wits end. Looks like I will have no heating this winter and likely periods of no electricity too.
        ",2018-06-16T18:19:29.000+00:00
1,"            I have just left British Gas and even though I had smart meters they still estimated my final bill and changed my £632 for 51 day’s of energy so if your with them be carful  when you leave them and if your thinking of joining them don’t do it
        ",2018-06-15T20:58:35.000+00:00
5,"            So pleased we had British Gas to have our fire & boiler serviced. We had an excellent engineer who certainly knew what he was doing on top of that he was respectful, informative, wore shoe covers and cleaned up each area.He was young & although our appliances are 8 & 12 years old he didn't need manuals (as has always been the case in the past) he was familiar with them and clearly knew his job.Having read some of the Reviews we were quite worried, this was totally unfounded. He wasn't a subcontractor, he was an employee. We feel so confident since his visit and would highly recommend British Gas and we will certainly not hesitate to use them in the future.Thank you so much.
        ",2018-06-15T19:17:11.000+00:00
5,"            Customer service have been excellent. The gentlemen who came to do a service on our boiler was lovely. He was very professional and easy to talk to. It's taken 48hrs for them to sort out the problem and both me and my partner have been very happy with the service.
        ",2018-06-15T14:59:42.000+00:00
1,"            Rip off and profiteering company, I was silly to stay loyal for many years with year on year putting energy prices and boiler and central heating cover up, I di not realise that companies offering like for like are hundreds of pounds cheaper, don't be like I was and shop around as I will now be doing each year to save money and not fill the pockets of british gas.
        ",2018-06-15T10:32:23.000+00:00
1,"            I am sad to say this but I have been with them for years but my latest experience re a boiler  has convinced me to move supplier and take action to sue for breach of contract under Home serve agreement  I have sent several emails requesting them to deal with a complaint over the past few months explaining that sometimes without hot water since a new part was fitted after much delay and some compensation  I have had no acknowledgement or reply to my  emails or follow up to any of my telephone calls Initially I was referred by them to Hive and after a prompt and helpful email  exchange it was discovered it was not one of their machines and I should not have been referred there. I give Hive this that when they found out what has happened they have regularly followed up to ask if British Gas has resolved the matter I have said no and they appear to be aghast at British gas not having responded to the  emails I have sent them   I have sent a further email tonight but don't expect a reply as per normal . Ultimately it will be their loss as by switching provider they will be losing several thousand of pound  per annum being  the usual  bills they would have rendered My advice to anyone is steer clear of this Company they clearly have no customer care and try to deal with customers by ignoring them Nick M
        ",2018-06-12T19:03:07.000+00:00
1,"            Nothing British about them, may as well be called India Gas, Purchased new business premises back in January 2016, constantly getting bills for the previous occupiers who went bust. British Gas then decided to change the bills to my company even when we didnt own the property, got all this credited back and advised them that the meter they were billing was not on this site. Still they keep billing me, photos of meters sent, no reply, again call this morning asking when are we going to pay, Simple answer is we are not! Time to send a letter to the ombudsman i think!
        ",2018-06-12T09:15:00.000+00:00
3,"            I have had various recent issues with incorrect billing (told it was caused by me because I used their Predict Next Bill function on website). That has been fixed after redoing my bills for the previous 9 months (they did give £30 compensation as I had spent about 5 hours on the phone to get it fixed). Now they have put a new thing on their website called Monthly Comparison With Previous Years. Great I thought for those of us that want and have to keep a close eye on our bills. But disappointment again as it is now June 11th and June still didn't appear on the new comparison. If your going to do something NEW then do it right don't add to your customers frustration and disappointment
        ",2018-06-11T17:07:41.000+00:00
